LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2015,0.937884946,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2016,1.985370449,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2017,2.49790835,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2018,2.516871962,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2019,1.445033753,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2020,-6.700304196,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2021,3.415115883,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2022,4.238121492,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1961,4.974011877,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1962,5.181514819,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1963,4.404047694,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1964,6.94762637,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1965,3.586145174,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1966,3.106993786,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1967,3.868788989,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1968,4.172230201,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1969,6.623164179,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1970,6.191994189,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1971,3.75302137,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1972,5.25564666,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1973,6.12232757,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1974,4.19963425,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1975,-1.327000265,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1976,5.652750967,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1977,0.626135478,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1978,2.841912664,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1979,2.341058001,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1980,4.479501221,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1981,-0.279283619,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1982,0.594986945,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1983,0.311842729,
