LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
BEL,UNEMPFORECAST,TOT,PC_LF,A,1977,5.491185651,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1978,6.082196623,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1979,6.33793568,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1980,6.690343317,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1981,8.583879518,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1982,10.07355513,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1983,10.74164331,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1984,10.82499728,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1985,10.11674393,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1986,10.05003256,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1987,9.807786088,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1988,8.834162578,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1989,7.366257914,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1990,6.558267217,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1991,6.450059225,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1992,7.092020281,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1993,8.627265148,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1994,9.750010913,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1995,9.683447997,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1996,9.550468664,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1997,9.217064165,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1998,9.341196742,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1999,8.425848852,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2000,6.857804408,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2001,6.56995148,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2002,7.52562294,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2003,8.175409387,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2004,8.38539643,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2005,8.474985732,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2006,8.266687158,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2007,7.491704643,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2008,6.968245264,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2009,7.908419927,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2010,8.308248614,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2011,7.142350298,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2012,7.551904194,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2013,8.450055223,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2014,8.549940034,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2015,8.483957477,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2016,7.841820251,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2017,7.116930062,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2018,5.958219892,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2019,5.35794502,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2020,5.552972933,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2021,6.397414856,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2022,6.305763811,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1960,6.943695304,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1961,7.146270411,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1962,5.884344874,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1963,5.531044825,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1964,4.667030252,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1965,3.862139822,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1966,3.335743285,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1967,3.826253456,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1968,4.47792491,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1969,4.418209735,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1970,5.715872906,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1971,6.190122432,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1972,6.235191654,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1973,5.540377806,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1974,5.335189252,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1975,6.932513287,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1976,7.096186038,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1977,8.063393367,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1978,8.373712143,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1979,7.497051563,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1980,7.523763685,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1981,7.61688382,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1982,11.12428061,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1983,11.99435103,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1984,11.3588703,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1985,10.6363411,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1986,9.692059242,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1987,8.806873501,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1988,7.765076028,
