Adjetives_Verbs,Nouns_Dependent,Adjetive_Type
satsifait ,contribuable*,Positive
sécuriser,contribuable*,Positive
servir,contribuable*,Positive
solidifier,contribuable*,Positive
soutenir,contribuable*,Positive
stimuler,contribuable*,Positive
unis,contribuable*,Positive
aider,électorat,Positive
améliorer,électorat,Positive
assurer,électorat,Positive
augmenter*,électorat,Positive
avantageux*,électorat,Positive
content ,électorat,Positive
coopérer ,électorat,Positive
croitre,électorat,Positive
élevé*,électorat,Positive
encourager,électorat,Positive
favoriser,électorat,Positive
fortifier,électorat,Positive
généreux*,électorat,Positive
grandir,électorat,Positive
hausse,électorat,Positive
heureux,électorat,Positive
lever,électorat,Positive
monter,électorat,Positive
optimiste,électorat,Positive
positif,électorat,Positive
privilégier,électorat,Positive
protéger*,électorat,Positive
rassasié,électorat,Positive
rassurer,électorat,Positive
reconfort,électorat,Positive
renforcer*,électorat,Positive
satsifait ,électorat,Positive
sécuriser,électorat,Positive
servir,électorat,Positive
solidifier,électorat,Positive
soutenir,électorat,Positive
stimuler,électorat,Positive
unis,électorat,Positive
aider,épargne* ,Positive
améliorer,épargne* ,Positive
assurer,épargne* ,Positive
augmenter*,épargne* ,Positive
avantageux*,épargne* ,Positive
content ,épargne* ,Positive
coopérer ,épargne* ,Positive
croitre,épargne* ,Positive
élevé*,épargne* ,Positive
encourager,épargne* ,Positive
favoriser,épargne* ,Positive
fortifier,épargne* ,Positive
généreux*,épargne* ,Positive
grandir,épargne* ,Positive
hausse,épargne* ,Positive
heureux,épargne* ,Positive
lever,épargne* ,Positive
monter,épargne* ,Positive
optimiste,épargne* ,Positive
positif,épargne* ,Positive
privilégier,épargne* ,Positive
protéger*,épargne* ,Positive
rassasié,épargne* ,Positive
rassurer,épargne* ,Positive
reconfort,épargne* ,Positive
renforcer*,épargne* ,Positive
satsifait ,épargne* ,Positive
sécuriser,épargne* ,Positive
servir,épargne* ,Positive
solidifier,épargne* ,Positive
soutenir,épargne* ,Positive
stimuler,épargne* ,Positive
unis,épargne* ,Positive
aider,foyer ,Positive
améliorer,foyer ,Positive
assurer,foyer ,Positive
augmenter*,foyer ,Positive
avantageux*,foyer ,Positive
content ,foyer ,Positive
coopérer ,foyer ,Positive
croitre,foyer ,Positive
élevé*,foyer ,Positive
encourager,foyer ,Positive
favoriser,foyer ,Positive
fortifier,foyer ,Positive
généreux*,foyer ,Positive
grandir,foyer ,Positive
hausse,foyer ,Positive
heureux,foyer ,Positive
lever,foyer ,Positive
monter,foyer ,Positive
optimiste,foyer ,Positive
positif,foyer ,Positive
privilégier,foyer ,Positive
protéger*,foyer ,Positive
rassasié,foyer ,Positive
rassurer,foyer ,Positive
reconfort,foyer ,Positive
renforcer*,foyer ,Positive
satsifait ,foyer ,Positive
sécuriser,foyer ,Positive
servir,foyer ,Positive
solidifier,foyer ,Positive
soutenir,foyer ,Positive
stimuler,foyer ,Positive
unis,foyer ,Positive
aider,ménage*,Positive
améliorer,ménage*,Positive
assurer,ménage*,Positive
augmenter*,ménage*,Positive
avantageux*,ménage*,Positive
content ,ménage*,Positive
coopérer ,ménage*,Positive
croitre,ménage*,Positive
élevé*,ménage*,Positive
encourager,ménage*,Positive
favoriser,ménage*,Positive
fortifier,ménage*,Positive
généreux*,ménage*,Positive
grandir,ménage*,Positive
hausse,ménage*,Positive
heureux,ménage*,Positive
lever,ménage*,Positive
monter,ménage*,Positive
optimiste,ménage*,Positive
positif,ménage*,Positive
privilégier,ménage*,Positive
protéger*,ménage*,Positive
rassasié,ménage*,Positive
rassurer,ménage*,Positive
reconfort,ménage*,Positive
renforcer*,ménage*,Positive
satsifait ,ménage*,Positive
sécuriser,ménage*,Positive
servir,ménage*,Positive
solidifier,ménage*,Positive
soutenir,ménage*,Positive
stimuler,ménage*,Positive
unis,ménage*,Positive
aider,retraite* ,Positive
améliorer,retraite* ,Positive
assurer,retraite* ,Positive
