Adjetives_Verbs,Nouns_Dependent,Adjetive_Type
sécurisé,action ,Positive
solide,action ,Positive
solvable,action ,Positive
soulever,action ,Positive
soutenir,action ,Positive
stable,action ,Positive
stimuler,action ,Positive
succès,action ,Positive
sûr,action ,Positive
vers le haut,action ,Positive
meilleur,action ,Positive
mieux,action ,Positive
accélérer,banque*,Positive
accueillir,banque*,Positive
agrandir,banque*,Positive
améliorer,banque*,Positive
assurer,banque*,Positive
augmenter,banque*,Positive
augmenter,banque*,Positive
avantageux,banque*,Positive
croître,banque*,Positive
développer,banque*,Positive
durable,banque*,Positive
élargir,banque*,Positive
élévé,banque*,Positive
en croissance,banque*,Positive
favorable,banque*,Positive
ferme*,banque*,Positive
fort,banque*,Positive
grand*,banque*,Positive
haut ,banque*,Positive
large,banque*,Positive
mieux,banque*,Positive
monter,banque*,Positive
non conventionnel,banque*,Positive
positif ,banque*,Positive
puissant,banque*,Positive
rapide,banque*,Positive
