Adjetives_Verbs,Nouns_Dependent,Adjetive_Type
ängstlich*,Sparer*,Negative
bangen,Sparer*,Negative
beschädigt*,Sparer*,Negative
besorgt*,Sparer*,Negative
desillusioniert,Sparer*,Negative
empört*,Sparer*,Negative
enttäuscht,Sparer*,Negative
frustriert,Sparer*,Negative
gering*,Sparer*,Negative
heftig*,Sparer*,Negative
klein*,Sparer*,Negative
leiden*,Sparer*,Negative
missbilligen,Sparer*,Negative
missfallen*,Sparer*,Negative
negativ,Sparer*,Negative
nicht genug,Sparer*,Negative
nicht zustimmen,Sparer*,Negative
niedrig*,Sparer*,Negative
pessimistisch,Sparer*,Negative
protestieren,Sparer*,Negative
schaden,Sparer*,Negative
schlecht*,Sparer*,Negative
schwach*,Sparer*,Negative
senken,Sparer*,Negative
sinkend*,Sparer*,Negative
sorgenvoll,Sparer*,Negative
sorgsam,Sparer*,Negative
unzufrieden,Sparer*,Negative
unzureichend*,Sparer*,Negative
verärgert*,Sparer*,Negative
verhindern,Sparer*,Negative
verletzt,Sparer*,Negative
vermindern,Sparer*,Negative
verringern,Sparer*,Negative
widersprechen,Sparer*,Negative
wütend,Sparer*,Negative
ängstlich*,Staatsbürger*,Negative
bangen,Staatsbürger*,Negative
beschädigt*,Staatsbürger*,Negative
besorgt*,Staatsbürger*,Negative
desillusioniert,Staatsbürger*,Negative
empört*,Staatsbürger*,Negative
enttäuscht,Staatsbürger*,Negative
frustriert,Staatsbürger*,Negative
gering*,Staatsbürger*,Negative
heftig*,Staatsbürger*,Negative
klein*,Staatsbürger*,Negative
leiden*,Staatsbürger*,Negative
missbilligen,Staatsbürger*,Negative
missfallen*,Staatsbürger*,Negative
negativ,Staatsbürger*,Negative
nicht genug,Staatsbürger*,Negative
nicht zustimmen,Staatsbürger*,Negative
niedrig*,Staatsbürger*,Negative
pessimistisch,Staatsbürger*,Negative
protestieren,Staatsbürger*,Negative
schaden,Staatsbürger*,Negative
schlecht*,Staatsbürger*,Negative
schwach*,Staatsbürger*,Negative
senken,Staatsbürger*,Negative
sinkend*,Staatsbürger*,Negative
sorgenvoll,Staatsbürger*,Negative
sorgsam,Staatsbürger*,Negative
unzufrieden,Staatsbürger*,Negative
unzureichend*,Staatsbürger*,Negative
verärgert*,Staatsbürger*,Negative
verhindern,Staatsbürger*,Negative
verletzt,Staatsbürger*,Negative
vermindern,Staatsbürger*,Negative
verringern,Staatsbürger*,Negative
widersprechen,Staatsbürger*,Negative
wütend,Staatsbürger*,Negative
ängstlich*,Steuerzahler*,Negative
bangen,Steuerzahler*,Negative
beschädigt*,Steuerzahler*,Negative
besorgt*,Steuerzahler*,Negative
desillusioniert,Steuerzahler*,Negative
empört*,Steuerzahler*,Negative
enttäuscht,Steuerzahler*,Negative
frustriert,Steuerzahler*,Negative
gering*,Steuerzahler*,Negative
heftig*,Steuerzahler*,Negative
klein*,Steuerzahler*,Negative
leiden*,Steuerzahler*,Negative
missbilligen,Steuerzahler*,Negative
missfallen*,Steuerzahler*,Negative
negativ,Steuerzahler*,Negative
nicht genug,Steuerzahler*,Negative
nicht zustimmen,Steuerzahler*,Negative
niedrig*,Steuerzahler*,Negative
pessimistisch,Steuerzahler*,Negative
protestieren,Steuerzahler*,Negative
schaden,Steuerzahler*,Negative
schlecht*,Steuerzahler*,Negative
schwach*,Steuerzahler*,Negative
senken,Steuerzahler*,Negative
sinkend*,Steuerzahler*,Negative
sorgenvoll,Steuerzahler*,Negative
sorgsam,Steuerzahler*,Negative
unzufrieden,Steuerzahler*,Negative
unzureichend*,Steuerzahler*,Negative
verärgert*,Steuerzahler*,Negative
verhindern,Steuerzahler*,Negative
verletzt,Steuerzahler*,Negative
vermindern,Steuerzahler*,Negative
verringern,Steuerzahler*,Negative
widersprechen,Steuerzahler*,Negative
wütend,Steuerzahler*,Negative
ängstlich*,verfügbare* Einkommen*,Negative
bangen,verfügbare* Einkommen*,Negative
beschädigt*,verfügbare* Einkommen*,Negative
besorgt*,verfügbare* Einkommen*,Negative
